,player_id,name,position_type,eligible_positions,percent_owned,status,league
230,24000,Tim Tebow,O,QB,74,,257.l.211725
231,24011,Dexter McCluster,O,WR,38,,257.l.211725
232,24011,Dexter McCluster,O,RB,38,,257.l.211725
233,24070,Jimmy Graham,O,TE,99,,257.l.211725
234,24171,Antonio Brown,O,WR,85,,257.l.211725
235,24272,David Nelson,O,WR,41,,257.l.211725
236,24550,Jake Ballard,O,TE,39,,257.l.211725
237,24553,Victor Cruz,O,WR,94,,257.l.211725
238,24788,Cam Newton,O,QB,97,,257.l.211725
239,24791,A.J. Green,O,WR,95,,257.l.211725
240,24793,Julio Jones,O,WR,90,,257.l.211725
241,24845,Torrey Smith,O,WR,77,,257.l.211725
242,24892,Roy Helu Jr.,O,RB,80,,257.l.211725
243,25427,Dan Bailey,K,K,90,,257.l.211725
244,100004,Cincinnati,DT,DEF,68,,257.l.211725
245,100008,Detroit,DT,DEF,81,,257.l.211725
246,100034,Houston,DT,DEF,82,,257.l.211725
247,4269,Phil Dawson,K,K,22,,273.l.324073
248,8332,James Jones,O,WR,87,,273.l.324073
249,8383,Scott Chandler,O,TE,35,,273.l.324073
250,8739,Jackie Battle,O,RB,14,,273.l.324073
251,9037,Danny Amendola,O,WR,69,,273.l.324073
252,9219,Connor Barth,K,K,48,,273.l.324073
253,9466,Brandon Myers,O,TE,58,,273.l.324073
254,23996,Jermaine Gresham,O,TE,87,,273.l.324073
255,24035,Golden Tate,O,WR,42,,273.l.324073
256,24062,Eric Decker,O,WR,97,,273.l.324073
257,24757,Danario Alexander,O,WR,66,,273.l.324073
258,24822,Andy Dalton,O,QB,80,,273.l.324073
259,24844,Mikel Leshoure,O,RB,86,,273.l.324073
260,24851,Randall Cobb,O,WR,95,,273.l.324073
261,24858,DeMarco Murray,O,RB,96,,273.l.324073
262,24860,Stevan Ridley,O,RB,96,,273.l.324073
263,24901,Cecil Shorts III,O,WR,74,,273.l.324073
264,24932,Jacquizz Rodgers,O,RB,55,,273.l.324073
265,24935,Denarius Moore,O,WR,79,,273.l.324073
266,25711,Andrew Luck,O,QB,92,,273.l.324073
267,25712,Robert Griffin III,O,QB,98,,273.l.324073
268,25713,Trent Richardson,O,RB,98,,273.l.324073
269,25741,Doug Martin,O,RB,99,,273.l.324073
270,25742,David Wilson,O,RB,69,,273.l.324073
271,25802,T.Y. Hilton,O,WR,74,,273.l.324073
272,25880,Vick Ballard,O,RB,57,,273.l.324073
273,25883,Alfred Morris,O,RB,96,,273.l.324073
274,26534,Justin Tucker,K,K,73,,273.l.324073
275,26561,Josh Gordon,O,WR,56,,273.l.324073
276,100001,Atlanta,DT,DEF,60,,273.l.324073
277,8838,Martellus Bennett,O,TE,86,,314.l.378899
278,8861,Harry Douglas,O,WR,76,,314.l.378899
279,9066,Stephen Hauschka,K,K,81,,314.l.378899
280,9393,Andre Brown,O,RB,80,,314.l.378899
281,9496,Julian Edelman,O,WR,86,,314.l.378899
282,9514,Rashad Jennings,O,RB,77,,314.l.378899
283,9520,Ryan Succop,K,K,33,,314.l.378899
284,24026,Toby Gerhart,O,RB,20,,314.l.378899
285,24135,Riley Cooper,O,WR,80,,314.l.378899
286,24843,Shane Vereen,O,RB,81,,314.l.378899
287,24889,Jordan Cameron,O,TE,84,,314.l.378899
288,24916,Julius Thomas,O,TE,97,,314.l.378899
289,25723,Michael Floyd,O,WR,77,,314.l.378899
290,25744,Coby Fleener,O,TE,66,,314.l.378899
291,25755,Alshon Jeffery,O,WR,96,,314.l.378899
292,25773,Rueben Randle,O,WR,63,,314.l.378899
293,25785,Russell Wilson,O,QB,97,,314.l.378899
294,25798,Nick Foles,O,QB,89,,314.l.378899
295,25820,Ladarius Green,O,TE,12,,314.l.378899
296,26631,Tavon Austin,O,WR,61,,314.l.378899
297,26652,Cordarrelle Patterson,O,WR,45,,314.l.378899
298,26660,Giovani Bernard,O,RB,94,,314.l.378899
299,26671,Le'Veon Bell,O,RB,90,,314.l.378899
300,26681,Montee Ball,O,RB,63,,314.l.378899
301,26684,Eddie Lacy,O,RB,98,,314.l.378899
302,26697,Terrance Williams,O,WR,43,,314.l.378899
303,26699,Keenan Allen,O,WR,90,,314.l.378899
304,26708,Jordan Reed,O,TE,40,,314.l.378899
305,26774,Joseph Randle,O,RB,4,,314.l.378899
306,26783,Zac Stacy,O,RB,90,,314.l.378899
307,27311,Dennis Johnson,O,RB,24,,314.l.378899
308,100002,Buffalo,DT,DEF,42,,314.l.378899
309,100005,Cleveland,DT,DEF,43,,314.l.378899
310,100012,Kansas City,DT,DEF,96,,314.l.378899
312,100029,Carolina,DT,DEF,90,,314.l.378899
313,7177,Alex Smith,O,QB,41,,331.l.329823
314,7924,Delanie Walker,O,TE,84,,331.l.329823
315,24053,Brandon LaFell,O,WR,81,,331.l.329823
316,24057,Emmanuel Sanders,O,WR,98,,331.l.329823
317,24169,James Starks,O,RB,20,,331.l.329823
318,24262,Joique Bell,O,RB,94,,331.l.329823
319,24400,Chris Ivory,O,RB,69,,331.l.329823
320,24815,Mark Ingram II,O,RB,93,,331.l.329823
321,24823,Colin Kaepernick,O,QB,78,,331.l.329823
322,25105,Doug Baldwin,O,WR,37,,331.l.329823
323,25718,Ryan Tannehill,O,QB,71,,331.l.329823
324,25774,Dwayne Allen,O,TE,68,,331.l.329823
325,25793,Mohamed Sanu Sr.,O,WR,70,,331.l.329823
326,25807,Lamar Miller,O,RB,92,,331.l.329823
327,25901,Daniel Herron,O,RB,61,,331.l.329823
328,26273,Jonas Gray,O,RB,37,,331.l.329823
329,26650,DeAndre Hopkins,O,WR,91,,331.l.329823
330,26664,Robert Woods,O,WR,10,,331.l.329823
331,26686,Travis Kelce,O,TE,83,,331.l.329823
332,26719,Knile Davis,O,RB,44,,331.l.329823
333,26767,Kenny Stills,O,WR,73,,331.l.329823
334,26804,Latavius Murray,O,RB,56,,331.l.329823
335,26807,Mychal Rivera,O,TE,27,,331.l.329823
336,26839,Charles Johnson,O,WR,37,,331.l.329823
337,26853,Kerwynn Williams,O,RB,17,,331.l.329823
338,26859,Marquess Wilson,O,WR,25,,331.l.329823
339,26878,C.J. Anderson,O,RB,90,,331.l.329823
340,27532,Sammy Watkins,O,WR,92,,331.l.329823
341,27535,Mike Evans,O,WR,95,,331.l.329823
342,27540,Odell Beckham Jr.,O,WR,93,,331.l.329823
343,27550,Johnny Manziel,O,QB,30,,331.l.329823
344,27556,Kelvin Benjamin,O,WR,95,,331.l.329823
345,27570,Jordan Matthews,O,WR,76,,331.l.329823
346,27582,Bishop Sankey,O,RB,66,,331.l.329823
347,27583,Jeremy Hill,O,RB,91,,331.l.329823
348,27603,Tre Mason,O,RB,80,,331.l.329823
349,27622,Terrance West,O,RB,48,,331.l.329823
350,27641,Andre Williams,O,RB,64,,331.l.329823
351,27646,Martavis Bryant,O,WR,62,,331.l.329823
352,27911,Cody Parkey,K,K,84,,331.l.329823
353,28014,Isaiah Crowell,O,RB,65,,331.l.329823
354,28272,Branden Oliver,O,RB,35,,331.l.329823
355,100011,Indianapolis,DT,DEF,50,,331.l.329823
356,100027,Tampa Bay,DT,DEF,10,,331.l.329823
357,7426,Ryan Fitzpatrick,O,QB,51,,348.l.216667
358,8263,Ted Ginn Jr.,O,WR,69,,348.l.216667
359,8907,Gary Barnidge,O,TE,91,,348.l.216667
360,9444,Zach Miller,O,TE,37,,348.l.216667
361,9526,Graham Gano,K,K,77,,348.l.216667
362,24967,Tyrod Taylor,O,QB,56,,348.l.216667
363,24970,Jordan Todman,O,RB,0,,348.l.216667
364,25379,Kamar Aiken,O,WR,67,,348.l.216667
365,25481,Shaun Draughn,O,RB,49,,348.l.216667
366,25777,Ronnie Hillman,O,RB,64,,348.l.216667
367,25810,Travis Benjamin,O,WR,73,,348.l.216667
368,25812,Kirk Cousins,O,QB,45,,348.l.216667
369,25876,Marvin Jones Jr.,O,WR,52,,348.l.216667
370,25885,Blair Walsh,K,K,53,,348.l.216667
371,26596,Fozzy Whittaker,O,RB,12,,348.l.216667
372,26678,Vance McDonald,O,TE,6,,348.l.216667
