,player_name,position,player_url,position_rank
22,Jay Cutler,QB,https://sports.yahoo.com/nfl/players/7760,1133
23,Kellen Clemens,QB,https://sports.yahoo.com/nfl/players/7798,1135
24,Garrett Grayson,QB,https://sports.yahoo.com/nfl/players/28463,1143
0,Bryce Petty,QB,https://sports.yahoo.com/nfl/players/28491,1145
1,Brett Hundley,QB,https://sports.yahoo.com/nfl/players/28535,1149
2,Trevor Siemian,QB,https://sports.yahoo.com/nfl/players/28638,1157
3,Brandon Weeden,QB,https://sports.yahoo.com/nfl/players/25732,1172
4,Chad Kelly,QB,https://sports.yahoo.com/nfl/players/30366,1173
5,Brian Hoyer,QB,https://sports.yahoo.com/nfl/players/9547,1176
6,Jacoby Brissett,QB,https://sports.yahoo.com/nfl/players/29325,1177
7,Kyle Lauletta,QB,https://sports.yahoo.com/nfl/players/31078,1179
8,Geno Smith,QB,https://sports.yahoo.com/nfl/players/26662,1181
0,Tyreek Hill,WR,https://sports.yahoo.com/nfl/players/29399,20
1,DeAndre Hopkins,WR,https://sports.yahoo.com/nfl/players/26650,21
2,Davante Adams,WR,https://sports.yahoo.com/nfl/players/27581,23
3,Antonio Brown,WR,https://sports.yahoo.com/nfl/players/24171,24
4,Julio Jones,WR,https://sports.yahoo.com/nfl/players/24793,25
5,Michael Thomas,WR,https://sports.yahoo.com/nfl/players/29281,27
6,Adam Thielen,WR,https://sports.yahoo.com/nfl/players/27277,30
7,Mike Evans,WR,https://sports.yahoo.com/nfl/players/27535,32
8,JuJu Smith-Schuster,WR,https://sports.yahoo.com/nfl/players/30175,34
9,Robert Woods,WR,https://sports.yahoo.com/nfl/players/26664,39
10,Stefon Diggs,WR,https://sports.yahoo.com/nfl/players/28534,45
11,Keenan Allen,WR,https://sports.yahoo.com/nfl/players/26699,47
12,Brandin Cooks,WR,https://sports.yahoo.com/nfl/players/27548,50
13,T.Y. Hilton,WR,https://sports.yahoo.com/nfl/players/25802,51
14,Tyler Lockett,WR,https://sports.yahoo.com/nfl/players/28457,54
15,Odell Beckham Jr.,WR,https://sports.yahoo.com/nfl/players/27540,56
16,Tyler Boyd,WR,https://sports.yahoo.com/nfl/players/29288,65
17,Amari Cooper,WR,https://sports.yahoo.com/nfl/players/28392,68
18,Jarvis Landry,WR,https://sports.yahoo.com/nfl/players/27591,71
19,Calvin Ridley,WR,https://sports.yahoo.com/nfl/players/30996,72
20,Kenny Golladay,WR,https://sports.yahoo.com/nfl/players/30209,73
21,Julian Edelman,WR,https://sports.yahoo.com/nfl/players/9496,74
22,Emmanuel Sanders,WR,https://sports.yahoo.com/nfl/players/24057,78
23,Mike Williams,WR,https://sports.yahoo.com/nfl/players/30120,83
24,Chris Godwin,WR,https://sports.yahoo.com/nfl/players/30197,85
0,Alshon Jeffery,WR,https://sports.yahoo.com/nfl/players/25755,87
1,Larry Fitzgerald,WR,https://sports.yahoo.com/nfl/players/6762,89
2,Corey Davis,WR,https://sports.yahoo.com/nfl/players/30118,90
3,Adam Humphries,WR,https://sports.yahoo.com/nfl/players/29070,93
4,Sterling Shepard,WR,https://sports.yahoo.com/nfl/players/29274,94
5,Mohamed Sanu,WR,https://sports.yahoo.com/nfl/players/25793,95
6,Dede Westbrook,WR,https://sports.yahoo.com/nfl/players/30223,100
7,Golden Tate,WR,https://sports.yahoo.com/nfl/players/24035,101
8,Zay Jones,WR,https://sports.yahoo.com/nfl/players/30150,112
9,Nelson Agholor,WR,https://sports.yahoo.com/nfl/players/28408,115
10,Robbie Anderson,WR,https://sports.yahoo.com/nfl/players/29785,121
11,DeSean Jackson,WR,https://sports.yahoo.com/nfl/players/8826,123
12,DJ Moore,WR,https://sports.yahoo.com/nfl/players/30994,125
13,Demaryius Thomas,WR,https://sports.yahoo.com/nfl/players/23997,130
14,A.J. Green,WR,https://sports.yahoo.com/nfl/players/24791,132
15,Allen Robinson II,WR,https://sports.yahoo.com/nfl/players/27589,134
16,Jordy Nelson,WR,https://sports.yahoo.com/nfl/players/8813,135
17,John Brown,WR,https://sports.yahoo.com/nfl/players/27619,140
18,Taylor Gabriel,WR,https://sports.yahoo.com/nfl/players/28234,153
19,Josh Gordon,WR,https://sports.yahoo.com/nfl/players/26561,154
20,Cole Beasley,WR,https://sports.yahoo.com/nfl/players/26060,155
21,Tyrell Williams,WR,https://sports.yahoo.com/nfl/players/28691,156
22,Curtis Samuel,WR,https://sports.yahoo.com/nfl/players/30153,157
23,Doug Baldwin,WR,https://sports.yahoo.com/nfl/players/25105,159
24,Kenny Stills,WR,https://sports.yahoo.com/nfl/players/26767,161
0,Courtland Sutton,WR,https://sports.yahoo.com/nfl/players/31010,163
1,Cooper Kupp,WR,https://sports.yahoo.com/nfl/players/30182,164
2,Antonio Callaway,WR,https://sports.yahoo.com/nfl/players/31075,168
3,Donte Moncrief,WR,https://sports.yahoo.com/nfl/players/27618,178
4,Michael Crabtree,WR,https://sports.yahoo.com/nfl/players/9274,182
5,Anthony Miller,WR,https://sports.yahoo.com/nfl/players/31021,185
6,Willie Snead IV,WR,https://sports.yahoo.com/nfl/players/28026,188
7,Christian Kirk,WR,https://sports.yahoo.com/nfl/players/31017,190
8,Devin Funchess,WR,https://sports.yahoo.com/nfl/players/28429,194
9,Rashard Higgins,WR,https://sports.yahoo.com/nfl/players/29406,197
10,Marvin Jones Jr.,WR,https://sports.yahoo.com/nfl/players/25876,198
11,Danny Amendola,WR,https://sports.yahoo.com/nfl/players/9037,201
12,Sammy Watkins,WR,https://sports.yahoo.com/nfl/players/27532,204
13,Kendrick Bourne,WR,https://sports.yahoo.com/nfl/players/30551,207
14,Marquez Valdes-Scantling,WR,https://sports.yahoo.com/nfl/players/31144,211
15,Chester Rogers,WR,https://sports.yahoo.com/nfl/players/29609,212
16,Will Fuller V,WR,https://sports.yahoo.com/nfl/players/29255,213
17,Dante Pettis,WR,https://sports.yahoo.com/nfl/players/31014,215
18,Chris Hogan,WR,https://sports.yahoo.com/nfl/players/25178,220
19,David Moore,WR,https://sports.yahoo.com/nfl/players/30339,221
20,Josh Doctson,WR,https://sports.yahoo.com/nfl/players/29256,223
21,Tre'Quan Smith,WR,https://sports.yahoo.com/nfl/players/31061,227
22,Cordarrelle Patterson,WR,https://sports.yahoo.com/nfl/players/26652,228
23,Robert Foster,WR,https://sports.yahoo.com/nfl/players/31601,231
24,Josh Reynolds,WR,https://sports.yahoo.com/nfl/players/30230,232
0,Seth Roberts,WR,https://sports.yahoo.com/nfl/players/28214,233
1,Albert Wilson,WR,https://sports.yahoo.com/nfl/players/28046,237
2,Michael Gallup,WR,https://sports.yahoo.com/nfl/players/31051,243
3,Jarius Wright,WR,https://sports.yahoo.com/nfl/players/25828,252
4,Marquise Goodwin,WR,https://sports.yahoo.com/nfl/players/26701,254
5,Chris Conley,WR,https://sports.yahoo.com/nfl/players/28464,255
6,John Ross III,WR,https://sports.yahoo.com/nfl/players/30122,256
7,Keelan Cole,WR,https://sports.yahoo.com/nfl/players/30396,262
8,Taywan Taylor,WR,https://sports.yahoo.com/nfl/players/30185,267
9,Jamison Crowder,WR,https://sports.yahoo.com/nfl/players/28493,270
10,Quincy Enunwa,WR,https://sports.yahoo.com/nfl/players/27737,272
11,Randall Cobb,WR,https://sports.yahoo.com/nfl/players/24851,273
12,Phillip Dorsett,WR,https://sports.yahoo.com/nfl/players/28417,277
13,Demarcus Robinson,WR,https://sports.yahoo.com/nfl/players/29360,281
14,Dontrelle Inman,WR,https://sports.yahoo.com/nfl/players/25120,284
15,Jakeem Grant Sr.,WR,https://sports.yahoo.com/nfl/players/29420,286
16,Jermaine Kearse,WR,https://sports.yahoo.com/nfl/players/25991,287
17,Aldrick Robinson,WR,https://sports.yahoo.com/nfl/players/24965,288
18,Tajae Sharpe,WR,https://sports.yahoo.com/nfl/players/29374,292
19,Ryan Grant,WR,https://sports.yahoo.com/nfl/players/27670,295
20,Kelvin Benjamin,WR,https://sports.yahoo.com/nfl/players/27556,296
21,Breshad Perriman,WR,https://sports.yahoo.com/nfl/players/28414,300
22,Laquon Treadwell,WR,https://sports.yahoo.com/nfl/players/29257,303
23,Jaron Brown,WR,https://sports.yahoo.com/nfl/players/27074,306
24,Zach Pascal,WR,https://sports.yahoo.com/nfl/players/30502,309
0,Geronimo Allison,WR,https://sports.yahoo.com/nfl/players/29719,313
1,Jordan Matthews,WR,https://sports.yahoo.com/nfl/players/27570,315
2,Allen Hurns,WR,https://sports.yahoo.com/nfl/players/27874,316
3,Ryan Switzer,WR,https://sports.yahoo.com/nfl/players/30246,317
4,DaeSean Hamilton,WR,https://sports.yahoo.com/nfl/players/31083,319
5,Paul Richardson Jr.,WR,https://sports.yahoo.com/nfl/players/27573,321
