Name,Position,Standard Name,conc,position,player_id,exists in player master,exists in player_dict
Cardinals,DEF,Arizona,ArizonaDEF,DEF,100022,#N/A,100022
Arizona,DEF,Arizona,ArizonaDEF,DEF,100022,#N/A,100022
Cardinals D,DEF,Arizona,ArizonaDEF,DEF,100022,#N/A,100022
Atlanta (ATL),DEF,Atlanta,AtlantaDEF,DEF,100001,#N/A,100001
Atlanta D,DEF,Atlanta,AtlantaDEF,DEF,100001,#N/A,100001
Atlanta Falcons,DEF,Atlanta,AtlantaDEF,DEF,100001,#N/A,100001
Atlanta,DEF,Atlanta,AtlantaDEF,DEF,100001,#N/A,100001
Austin Ekeler,RB,Austin Ekeler,Austin EkelerRB,RB,30423,Austin EkelerRB,30423
Austin Hooper,TE,Austin Hooper,Austin HooperTE,TE,29315,Austin HooperTE,29315
Baker Mayfield,QB,Baker Mayfield,Baker MayfieldQB,QB,30971,Baker MayfieldQB,30971
Baltimore,DEF,Baltimore,BaltimoreDEF,DEF,100033,#N/A,100033
Baltimore DST,DEF,Baltimore,BaltimoreDEF,DEF,100033,#N/A,100033
Ravens D,DEF,Baltimore,BaltimoreDEF,DEF,100033,#N/A,100033
Beanie Wells,RB,Beanie Wells,Beanie WellsRB,RB,9295,Beanie WellsRB,9295
Ben Rapelessburger,QB,Ben Roethlisberger,Ben RoethlisbergerQB,QB,6770,Ben RoethlisbergerQB,6770
Ben Roethlisberger,QB,Ben Roethlisberger,Ben RoethlisbergerQB,QB,6770,Ben RoethlisbergerQB,6770
Ben Rothlesburger,QB,Ben Roethlisberger,Ben RoethlisbergerQB,QB,6770,Ben RoethlisbergerQB,6770
Ben Roethlisberg,QB,Ben Roethlisberger,Ben RoethlisbergerQB,QB,6770,Ben RoethlisbergerQB,6770
Ben Rothelsburger,QB,Ben Roethlisberger,Ben RoethlisbergerQB,QB,6770,Ben RoethlisbergerQB,6770
Ben Tate,RB,Ben Tate,Ben TateRB,RB,24033,Ben TateRB,24033
Benjamin Watson,TE,Ben Watson,Ben WatsonTE,TE,6791,Ben WatsonTE,6791
Benjarvis Green Ellis,RB,BenJarvus Green-Ellis,BenJarvus Green-EllisRB,RB,9039,BenJarvus Green-EllisRB,9039
BenJarvus Green-Ellis,RB,BenJarvus Green-Ellis,BenJarvus Green-EllisRB,RB,9039,BenJarvus Green-EllisRB,9039
Benny Snell Jr.,RB,Benny Snell Jr.,Benny Snell Jr.RB,RB,31954,Benny Snell Jr.RB,31954
Bilal Powell,RB,Bilal Powell,Bilal PowellRB,RB,24913,Bilal PowellRB,24913
Bishop Sankey,RB,Bishop Sankey,Bishop SankeyRB,RB,27582,Bishop SankeyRB,27582
Blair Walsh,K,Blair Walsh,Blair WalshK,K,25885,Blair WalshK,25885
Blake Bortles,QB,Blake Bortles,Blake BortlesQB,QB,27531,Blake BortlesQB,27531
Boston Scott,RB,Boston Scott,Boston ScottRB,RB,31171,Boston ScottRB,31171
Branden Oliver,RB,Branden Oliver,Branden OliverRB,RB,28272,Branden OliverRB,28272
Brandin Cooks,WR,Brandin Cooks,Brandin CooksWR,WR,27548,Brandin CooksWR,27548
Brandon Aiyuk,WR,Brandon Aiyuk,Brandon AiyukWR,WR,32695,Brandon AiyukWR,32695
Brandon LaFell,WR,Brandon LaFell,Brandon LaFellWR,WR,24053,Brandon LaFellWR,24053
Brandon Lloyd,WR,Brandon Lloyd,Brandon LloydWR,WR,6460,Brandon LloydWR,6460
Brandon Marshall,WR,Brandon Marshall,Brandon MarshallWR,WR,7868,Brandon MarshallWR,7868
Brandon Myers,TE,Brandon Myers,Brandon MyersTE,TE,9466,Brandon MyersTE,9466
Breshad Perriman,WR,Breshad Perriman,Breshad PerrimanWR,WR,28414,Breshad PerrimanWR,28414
Brian Hill,RB,Brian Hill,Brian HillRB,RB,30269,Brian HillRB,30269
Brock Osweiler,QB,Brock Osweiler,Brock OsweilerQB,QB,25767,Brock OsweilerQB,25767
Bryan Edwards,WR,Bryan Edwards,Bryan EdwardsWR,WR,32751,Bryan EdwardsWR,32751
Buffalo Bills,DEF,Buffalo,BuffaloDEF,DEF,100002,#N/A,100002
Buffalo,DEF,Buffalo,BuffaloDEF,DEF,100002,#N/A,100002
Buffalo D,DEF,Buffalo,BuffaloDEF,DEF,100002,#N/A,100002
BUF,DEF,Buffalo,BuffaloDEF,DEF,100002,,100002
C.J. Anderson,RB,C.J. Anderson,C.J. AndersonRB,RB,26878,C.J. AndersonRB,26878
CJ Anderson,RB,C.J. Anderson,C.J. AndersonRB,RB,26878,C.J. AndersonRB,26878
C.J. Fiedorowicz,TE,C.J. Fiedorowicz,C.J. FiedorowiczTE,TE,27593,C.J. FiedorowiczTE,27593
CJ Spiller,RB,C.J. Spiller,C.J. SpillerRB,RB,23984,C.J. SpillerRB,23984
Cairo Santos,K,Cairo Santos,Cairo SantosK,K,28227,Cairo SantosK,28227
Calvin Johnson,WR,Calvin Johnson,Calvin JohnsonWR,WR,8256,Calvin JohnsonWR,8256
Calvin Ridley,WR,Calvin Ridley,Calvin RidleyWR,WR,30996,Calvin RidleyWR,30996
Cam Akers,RB,Cam Akers,Cam AkersRB,RB,32722,Cam AkersRB,32722
Cam Newton,QB,Cam Newton,Cam NewtonQB,QB,24788,Cam NewtonQB,24788
Cameron Artis-Payne,RB,Cameron Artis-Payne,Cameron Artis-PayneRB,RB,28562,Cameron Artis-PayneRB,28562
Cameron Brate,TE,Cameron Brate,Cameron BrateTE,TE,28267,Cameron BrateTE,28267
Cameron Meredith,WR,Cameron Meredith,Cameron MeredithWR,WR,28697,Cameron MeredithWR,28697
Carlos Hyde,RB,Carlos Hyde,Carlos HydeRB,RB,27585,Carlos HydeRB,27585
Carolina,DEF,Carolina,CarolinaDEF,DEF,100029,#N/A,100029
Carolina (CAR),DEF,Carolina,CarolinaDEF,DEF,100029,#N/A,100029
Panthers D,DEF,Carolina,CarolinaDEF,DEF,100029,#N/A,100029
Carolina D,DEF,Carolina,CarolinaDEF,DEF,100029,#N/A,100029
Carson Palmer,QB,Carson Palmer,Carson PalmerQB,QB,6337,Carson PalmerQB,6337
Carson Wentz,QB,Carson Wentz,Carson WentzQB,QB,29236,Carson WentzQB,29236
Case Keenum,QB,Case Keenum,Case KeenumQB,QB,26483,Case KeenumQB,26483
Cecil Shorts,WR,Cecil Shorts III,Cecil Shorts IIIWR,WR,24901,Cecil Shorts IIIWR,24901
Cecil Shorts III,WR,Cecil Shorts III,Cecil Shorts IIIWR,WR,24901,Cecil Shorts IIIWR,24901
CeeDee Lamb,WR,CeeDee Lamb,CeeDee LambWR,WR,32687,CeeDee LambWR,32687
Chandler Catanzaro,K,Chandler Catanzaro,Chandler CatanzaroK,K,28103,Chandler CatanzaroK,28103
Charcandrick West,RB,Charcandrick West,Charcandrick WestRB,RB,28044,Charcandrick WestRB,28044
Charles Clay,TE,Charles Clay,Charles ClayTE,TE,24961,Charles ClayRB,24961
Charles Johnson,WR,Charles Johnson,Charles JohnsonWR,WR,26839,Charles JohnsonWR,26839
Charles Sims,RB,Charles Sims,Charles SimsRB,RB,27597,Charles SimsRB,27597
Chase Claypool,WR,Chase Claypool,Chase ClaypoolWR,WR,32719,Chase ClaypoolWR,32719
Chase Edmonds,RB,Chase Edmonds,Chase EdmondsRB,RB,31104,Chase EdmondsRB,31104
Bears Defense,DEF,Chicago,ChicagoDEF,DEF,100003,#N/A,100003
Chicago,DEF,Chicago,ChicagoDEF,DEF,100003,#N/A,100003
Chicago Bears,DEF,Chicago,ChicagoDEF,DEF,100003,#N/A,100003
Chicago D,DEF,Chicago,ChicagoDEF,DEF,100003,#N/A,100003
Chris Carson,RB,Chris Carson,Chris CarsonRB,RB,30362,Chris CarsonRB,30362
Chris Conley,WR,Chris Conley,Chris ConleyWR,WR,28464,Chris ConleyWR,28464
Chris Godwin,WR,Chris Godwin,Chris GodwinWR,WR,30197,Chris GodwinWR,30197
Chris Herndon IV,TE,Chris Herndon,Chris HerndonTE,TE,31077,Chris HerndonTE,31077
Chris Hogan,WR,Chris Hogan,Chris HoganWR,WR,25178,Chris HoganWR,25178
Chris Ivory,RB,Chris Ivory,Chris IvoryRB,RB,24400,Chris IvoryRB,24400
Chris Johnson,RB,Chris Johnson,Chris JohnsonRB,RB,8801,Chris JohnsonRB,8801
Chris Thompson,RB,Chris Thompson,Chris ThompsonRB,RB,26777,Chris ThompsonRB,26777
Christian Kirk,WR,Christian Kirk,Christian KirkWR,WR,31017,Christian KirkWR,31017
Christian McCaffrey,RB,Christian McCaffrey,Christian McCaffreyRB,RB,30121,Christian McCaffreyRB,30121
Christian Michael,RB,Christine Michael,Christine MichaelRB,RB,26685,Christine MichaelRB,26685
Christine Michael,RB,Christine Michael,Christine MichaelRB,RB,26685,Christine MichaelRB,26685
Chubba Hubbard,RB,Chuba Hubbard,Chuba HubbardRB,RB,33514,Chuba HubbardRB,33514
Chuba Hubbard,RB,Chuba Hubbard,Chuba HubbardRB,RB,33514,Chuba HubbardRB,33514
Bengals,DEF,Cincinnati,CincinnatiDEF,DEF,100004,#N/A,100004
Cincinnati,DEF,Cincinnati,CincinnatiDEF,DEF,100004,#N/A,100004
Cleveland,DEF,Cleveland,ClevelandDEF,DEF,100005,#N/A,100005
Cleveland DST,DEF,Cleveland,ClevelandDEF,DEF,100005,#N/A,100005
CLE,DEF,Cleveland,ClevelandDEF,DEF,100005,,100005
Clyde Edwards-Helaire,RB,Clyde Edwards-Helaire,Clyde Edwards-HelaireRB,RB,32702,Clyde Edwards-HelaireRB,32702
CEH,RB,Clyde Edwards-Helaire,Clyde Edwards-HelaireRB,RB,32702,,32702
Coby Fleener,TE,Coby Fleener,Coby FleenerTE,TE,25744,Coby FleenerTE,25744
Cody Parkey,K,Cody Parkey,Cody ParkeyK,K,27911,Cody ParkeyK,27911
Cole Beasley,WR,Cole Beasley,Cole BeasleyWR,WR,26060,Cole BeasleyWR,26060
Colin Kaepernick,QB,Colin Kaepernick,Colin KaepernickQB,QB,24823,Colin KaepernickQB,24823
Colin Kapernick,QB,Colin Kaepernick,Colin KaepernickQB,QB,24823,Colin KaepernickQB,24823
Connor Barth,K,Connor Barth,Connor BarthK,K,9219,Connor BarthK,9219
Cooper Kupp,WR,Cooper Kupp,Cooper KuppWR,WR,30182,Cooper KuppWR,30182
Cordarrelle Patterson,RB,Cordarrelle Patterson,Cordarrelle PattersonRB,RB,26652,Cordarrelle PattersonWR,26652
Cordarrelle Patterson,WR,Cordarrelle Patterson,Cordarrelle PattersonWR,WR,26652,Cordarrelle PattersonWR,26652
Corey Coleman,WR,Corey Coleman,Corey ColemanWR,WR,29249,Corey ColemanWR,29249
Corey Davis,WR,Corey Davis,Corey DavisWR,WR,30118,Corey DavisWR,30118
Courtland Sutton,WR,Courtland Sutton,Courtland SuttonWR,WR,31010,Courtland SuttonWR,31010
Curtis Samuel,WR,Curtis Samuel,Curtis SamuelWR,WR,30153,Curtis SamuelWR,30153
Dak Prescot,QB,Dak Prescott,Dak PrescottQB,QB,29369,Dak PrescottQB,29369
Dak Prescott,QB,Dak Prescott,Dak PrescottQB,QB,29369,Dak PrescottQB,29369
Dallas,DEF,Dallas,DallasDEF,DEF,100006,#N/A,100006
Dallas DST,DEF,Dallas,DallasDEF,DEF,100006,#N/A,100006
Dallas Goedert,TE,Dallas Goedert,Dallas GoedertTE,TE,31019,Dallas GoedertTE,31019
Dalvin Cook,RB,Dalvin Cook,Dalvin CookRB,RB,30154,Dalvin CookRB,30154
Damien Harris,RB,Damien Harris,Damien HarrisRB,RB,31919,Damien HarrisRB,31919
Damien Williams,RB,Damien Williams,Damien WilliamsRB,RB,28115,Damien WilliamsRB,28115
Dan Bailey,K,Dan Bailey,Dan BaileyK,K,25427,Dan BaileyK,25427
Dan Carpenter,K,Dan Carpenter,Dan CarpenterK,K,9032,Dan CarpenterK,9032
Danario Alexander,WR,Danario Alexander,Danario AlexanderWR,WR,24757,Danario AlexanderWR,24757
D'Andre Swift,RB,D'Andre Swift,D'Andre SwiftRB,RB,32705,D'Andre SwiftRB,32705
DeAndre Swift,RB,D'Andre Swift,D'Andre SwiftRB,RB,32705,D'Andre SwiftRB,32705
Daniel Herron,RB,Daniel Herron,Daniel HerronRB,RB,25901,Daniel HerronRB,25901
Daniel Jones,QB,Daniel Jones,Daniel JonesQB,QB,31838,Daniel JonesQB,31838
Danny Amendola,WR,Danny Amendola,Danny AmendolaWR,WR,9037,Danny AmendolaWR,9037
Danny Woodhead,RB,Danny Woodhead,Danny WoodheadRB,RB,9560,Danny WoodheadWR,9560
Dante Pettis,WR,Dante Pettis,Dante PettisWR,WR,31014,Dante PettisWR,31014
Darius Slayton,WR,Darius Slayton,Darius SlaytonWR,WR,32003,Darius SlaytonWR,32003
Darrell Henderson,RB,Darrell Henderson,Darrell HendersonRB,RB,31902,Darrell Henderson Jr.RB,31902
Darrell Henderson Jr.,RB,Darrell Henderson Jr.,Darrell Henderson Jr.RB,RB,31902,Darrell Henderson Jr.RB,31902
Darren Mcfadden,RB,Darren McFadden,Darren McFaddenRB,RB,8781,Darren McFaddenRB,8781
Darren Sproles,RB,Darren Sproles,Darren SprolesRB,RB,7306,Darren SprolesRB,7306
Darren Waller,TE,Darren Waller,Darren WallerTE,TE,28592,Darren WallerTE,28592
Darrius Guice,RB,Derrius Guice,Derrius GuiceRB,RB,#N/A,#N/A,#N/A
Derrius Guice,RB,Derrius Guice,Derrius GuiceRB,RB,#N/A,#N/A,#N/A
Darwin Thompson,RB,Darwin Thompson,Darwin ThompsonRB,RB,32046,Darwin ThompsonRB,32046
Daryl Richardson,RB,Daryl Richardson,Daryl RichardsonRB,RB,25962,Daryl RichardsonRB,25962
Davante Adams,WR,Davante Adams,Davante AdamsWR,WR,27581,Davante AdamsWR,27581
Devante Adams,WR,Davante Adams,Davante AdamsWR,WR,27581,Davante AdamsWR,27581
David Akers,K,David Akers,David AkersK,K,4587,David AkersK,4587
David Johnson,RB,David Johnson,David JohnsonRB,RB,28474,David JohnsonRB,28474
David Montgomery,RB,David Montgomery,David MontgomeryRB,RB,31905,David MontgomeryRB,31905
David Njoku,TE,David Njoku,David NjokuTE,TE,30142,David NjokuTE,30142
David Wilson,RB,David Wilson,David WilsonRB,RB,25742,David WilsonRB,25742
DeAndre Hopkins,WR,DeAndre Hopkins,DeAndre HopkinsWR,WR,26650,DeAndre HopkinsWR,26650
DeAndre Hopkins,WR,DeAndre Hopkins,DeAndre HopkinsWR,WR,26650,DeAndre HopkinsWR,26650
DeAndre Washington,RB,DeAndre Washington,DeAndre WashingtonRB,RB,29377,DeAndre WashingtonRB,29377
Deangelo Williams,RB,DeAngelo Williams,DeAngelo WilliamsRB,RB,7776,DeAngelo WilliamsRB,7776
Dede Westbrook,WR,Dede Westbrook,Dede WestbrookWR,WR,30223,Dede WestbrookWR,30223
Deebo Samuel,WR,Deebo Samuel,Deebo SamuelWR,WR,31868,Deebo SamuelWR,31868
Delanie Walker,TE,Delanie Walker,Delanie WalkerTE,TE,7924,Delanie WalkerTE,7924
DeMarco Murray,RB,DeMarco Murray,DeMarco MurrayRB,RB,24858,DeMarco MurrayRB,24858
Damarious Thomas,WR,Demaryius Thomas,Demaryius ThomasWR,WR,23997,Demaryius ThomasWR,23997
Demaryius Thomas,WR,Demaryius Thomas,Demaryius ThomasWR,WR,23997,Demaryius ThomasWR,23997
Demaryius Thomas*,WR,Demaryius Thomas,Demaryius ThomasWR,WR,23997,Demaryius ThomasWR,23997
Denard Robinson,RB,Denard Robinson,Denard RobinsonRB,RB,26758,Denard RobinsonWR,26758
Denarius Moore,WR,Denarius Moore,Denarius MooreWR,WR,24935,Denarius MooreWR,24935
Dennis Johnson,RB,Dennis Johnson,Dennis JohnsonRB,RB,27311,Dennis JohnsonRB,27311
Dennis Pitta,TE,Dennis Pitta,Dennis PittaTE,TE,24089,Dennis PittaTE,24089
Broncos,DEF,Denver,DenverDEF,DEF,100007,#N/A,100007
DEN,DEF,Denver,DenverDEF,DEF,100007,#N/A,100007
Denver,DEF,Denver,DenverDEF,DEF,100007,#N/A,100007
Denver D,DEF,Denver,DenverDEF,DEF,100007,#N/A,100007
Broncos D,DEF,Denver,DenverDEF,DEF,100007,#N/A,100007
Derek Carr,QB,Derek Carr,Derek CarrQB,QB,27564,Derek CarrQB,27564
Derick Henry,RB,Derrick Henry,Derrick HenryRB,RB,29279,Derrick HenryRB,29279
Derrick Henry,RB,Derrick Henry,Derrick HenryRB,RB,29279,Derrick HenryRB,29279
DeSean Jackson,WR,DeSean Jackson,DeSean JacksonWR,WR,8826,DeSean JacksonWR,8826
Deshaun Watson,QB,Deshaun Watson,Deshaun WatsonQB,QB,30125,Deshaun WatsonQB,30125
Lions Defense,DEF,Detroit,DetroitDEF,DEF,100008,#N/A,100008
Detroit,DEF,Detroit,DetroitDEF,DEF,100008,#N/A,100008
Davante Parker,WR,DeVante Parker,DeVante ParkerWR,WR,28402,DeVante ParkerWR,28402
DeVante Parker,WR,DeVante Parker,DeVante ParkerWR,WR,28402,DeVante ParkerWR,28402
Devin Funchess,WR,Devin Funchess,Devin FunchessWR,WR,28429,Devin FunchessWR,28429
Devin Singletary,RB,Devin Singletary,Devin SingletaryRB,RB,31906,Devin SingletaryRB,31906
Devonta Freeman,RB,Devonta Freeman,Devonta FreemanRB,RB,27631,Devonta FreemanRB,27631
Devonta Smith,WR,DeVonta Smith,DeVonta SmithWR,WR,33398,DeVonta SmithWR,33398
Devonte Smith,WR,DeVonta Smith,DeVonta SmithWR,WR,33398,DeVonta SmithWR,33398
DeVonta Smith,WR,DeVonta Smith,DeVonta SmithWR,WR,33398,,33398
Devontae Booker,RB,Devontae Booker,Devontae BookerRB,RB,29370,Devontae BookerRB,29370
Dez Bryant,WR,Dez Bryant,Dez BryantWR,WR,23999,Dez BryantWR,23999
Dion Lewis,RB,Dion Lewis,Dion LewisRB,RB,24936,Dion LewisRB,24936
Diontae Johnson,WR,Diontae Johnson,Diontae JohnsonWR,WR,31898,Diontae JohnsonWR,31898
Deonte Johnson,WR,Diontae Johnson,Diontae JohnsonWR,WR,31898,Diontae JohnsonWR,31898
D.J. Chark,WR,DJ Chark,DJ CharkWR,WR,31031,DJ CharkWR,31031
DJ Chark Jr.,WR,DJ Chark,DJ CharkWR,WR,31031,DJ CharkWR,31031
D.J. Moore,WR,DJ Moore,DJ MooreWR,WR,30994,DJ MooreWR,30994
DJ Moore,WR,DJ Moore,DJ MooreWR,WR,30994,DJ MooreWR,30994
D.K. Metcalf,WR,DK Metcalf,DK MetcalfWR,WR,31896,DK MetcalfWR,31896
DK Metcalf,WR,DK Metcalf,DK MetcalfWR,WR,31896,DK MetcalfWR,31896
DK Metcalfe,WR,DK Metcalf,DK MetcalfWR,WR,31896,DK MetcalfWR,31896
Donte Moncrief,WR,Donte Moncrief,Donte MoncriefWR,WR,27618,Donte MoncriefWR,27618
Dontrelle Inman,WR,Dontrelle Inman,Dontrelle InmanWR,WR,25120,Dontrelle InmanWR,25120
Dorial Green-Beckham,WR,Dorial Green-Beckham,Dorial Green-BeckhamWR,WR,28428,Dorial Green-BeckhamWR,28428
Doug Baldwin,WR,Doug Baldwin,Doug BaldwinWR,WR,25105,Doug BaldwinWR,25105
Doug Martin,RB,Doug Martin,Doug MartinRB,RB,25741,Doug MartinRB,25741
Drew Brees,QB,Drew Brees,Drew BreesQB,QB,5479,Drew BreesQB,5479
Drew Lock,QB,Drew Lock,Drew LockQB,QB,31874,Drew LockQB,31874
Duke Johnson,RB,Duke Johnson,Duke JohnsonRB,RB,28465,Duke JohnsonRB,28465
Duke Johnson Jr.,RB,Duke Johnson,Duke Johnson Jr.RB,RB,28465,Duke JohnsonRB,28465
Dwayne Allen,TE,Dwayne Allen,Dwayne AllenTE,TE,25774,Dwayne AllenTE,25774
Dwayne Bowe,WR,Dwayne Bowe,Dwayne BoweWR,WR,8277,Dwayne BoweWR,8277
Dwayne Washington,RB,Dwayne Washington,Dwayne WashingtonRB,RB,29470,Dwayne WashingtonRB,29470
Eddie Lacy,RB,Eddie Lacy,Eddie LacyRB,RB,26684,Eddie LacyRB,26684
Eddie Lacy*,RB,Eddie Lacy,Eddie LacyRB,RB,26684,Eddie LacyRB,26684
Eli Manning,QB,Eli Manning,Eli ManningQB,QB,6760,Eli ManningQB,6760
Eli Rogers,WR,Eli Rogers,Eli RogersWR,WR,28669,Eli RogersWR,28669
Elijah McGuire,RB,Elijah McGuire,Elijah McGuireRB,RB,30301,Elijah McGuireRB,30301
Elijhaa Penny,RB,Elijhaa Penny,Elijhaa PennyRB,RB,#N/A,#N/A,#N/A
Emmanuel Sanders,WR,Emmanuel Sanders,Emmanuel SandersWR,WR,24057,Emmanuel SandersWR,24057
Eric Decker,WR,Eric Decker,Eric DeckerWR,WR,24062,Eric DeckerWR,24062
Eric Ebron,TE,Eric Ebron,Eric EbronTE,TE,27538,Eric EbronTE,27538
Evan Engram,TE,Evan Engram,Evan EngramTE,TE,30136,Evan EngramTE,30136
Ezekiel Elliott,RB,Ezekiel Elliott,Ezekiel ElliottRB,RB,29238,Ezekiel ElliottRB,29238
Zeke Elliott,RB,Ezekiel Elliott,Ezekiel ElliottRB,RB,29238,Ezekiel ElliottRB,29238
Ezekiel Elliot,RB,Ezekiel Elliott,Ezekiel ElliottRB,RB,29238,Ezekiel ElliottRB,29238
Felix Jones,RB,Felix Jones,Felix JonesRB,RB,8799,Felix JonesRB,8799
Fozzy Whittaker,RB,Fozzy Whittaker,Fozzy WhittakerRB,RB,26596,Fozzy WhittakerRB,26596
Frank Gore,RB,Frank Gore,Frank GoreRB,RB,7241,Frank GoreRB,7241
Frank Old AF Gore,RB,Frank Gore,Frank GoreRB,RB,7241,Frank GoreRB,7241
Fred Davis,TE,Fred Davis,Fred DavisTE,TE,8825,Fred DavisTE,8825
Fred Jackson,RB,Fred Jackson,Fred JacksonRB,RB,8063,Fred JacksonRB,8063
Gardner Minshew II,QB,Gardner Minshew II,Gardner Minshew IIQB,QB,32010,Gardner MinshewQB,32010
Gerret Hartley,K,Garrett Hartley,Garrett HartleyK,K,9222,Garrett HartleyK,9222
Gary Barnidge,TE,Gary Barnidge,Gary BarnidgeTE,TE,8907,Gary BarnidgeTE,8907
George Kittle,TE,George Kittle,George KittleTE,TE,30259,George KittleTE,30259
Gerald Everett,TE,Gerald Everett,Gerald EverettTE,TE,30157,Gerald EverettTE,30157
Geronimo Allison,WR,Geronimo Allison,Geronimo AllisonWR,WR,29719,Geronimo AllisonWR,29719
Gio Bernard,RB,Giovani Bernard,Giovani BernardRB,RB,26660,Giovani BernardRB,26660
Giovani Bernard,RB,Giovani Bernard,Giovani BernardRB,RB,26660,Giovani BernardRB,26660
Giovanni Bernard,RB,Giovani Bernard,Giovani BernardRB,RB,26660,Giovani BernardRB,26660
Golden Tate,WR,Golden Tate,Golden TateWR,WR,24035,Golden TateWR,24035
Graham Gano,K,Graham Gano,Graham GanoK,K,9526,Graham GanoK,9526
Packers,DEF,Green Bay,Green BayDEF,DEF,100009,#N/A,100009
Green Bay,DEF,Green Bay,Green BayDEF,DEF,100009,#N/A,100009
Green Bay D,DEF,Green Bay,Green BayDEF,DEF,100009,#N/A,100009
Greg Jennings,WR,Greg Jennings,Greg JenningsWR,WR,7801,Greg JenningsWR,7801
Greg Olsen,TE,Greg Olsen,Greg OlsenTE,TE,8285,Greg OlsenTE,8285
Gus Edwards,RB,Gus Edwards,Gus EdwardsRB,RB,31424,Gus EdwardsRB,31424
