player,player_url,position,score,manager_id,opponent_id,matchup_url,league_url
,,,14.60,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,7.63,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,8.50,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,11.30,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,14.20,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,16.00,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,20.25,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,23.50,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,1.38,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,9.88,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,6.83,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,22.15,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,6.00,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,2.45,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,17.10,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,26.50,2,8,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,4.95,5,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=5&mid2=4&week=16,https://football.fantasysports.yahoo.com/2023/f1/199957
