team_key,name,rank,playoff_seed,outcome_totals,streak,points_for,points_against,wins,losses,ties,percentage,moves,faab_balance,league_key
359.l.370526.t.4,Siemian on my Gurley,9,7,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '2'}",1476.11,1655.8000000000002,5,8,0,.385,30,0,359.l.370526
359.l.370526.t.5,CantStopWontStop,10,8,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '1'}",1471.55,1601.84,5,8,0,.385,28,3,359.l.370526
371.l.347949.t.7,BryanIsATampon,1,1,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '3'}",1741.16,1460.0599999999997,10,3,0,.769,40,3,371.l.347949
371.l.347949.t.5,CantStopWontStop,2,3,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '5'}",1608.58,1519.4099999999999,9,4,0,.692,34,3,371.l.347949
371.l.347949.t.6,Kareem'd my Pants,3,2,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '2'}",1888.10,1496.12,9,4,0,.692,59,1,371.l.347949
371.l.347949.t.3,Golladayum,4,4,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1679.60,1595.23,8,5,0,.615,22,4,371.l.347949
371.l.347949.t.4,The Brady Bunch,5,6,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '3'}",1569.57,1598.71,6,7,0,.462,35,2,371.l.347949
371.l.347949.t.2,Dezspacito,6,5,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",1641.94,1592.5,7,6,0,.538,37,1,371.l.347949
371.l.347949.t.9,Magic Skol Bus,7,9,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '2'}",1553.96,1642.6399999999999,4,9,0,.308,48,3,371.l.347949
371.l.347949.t.8,Fetty Watt,8,10,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '6'}",1393.50,1756.45,2,11,0,.154,28,2,371.l.347949
371.l.347949.t.10,The Juice Is Loose,9,8,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '2'}",1437.41,1707.19,5,8,0,.385,30,1,371.l.347949
371.l.347949.t.1,UGotAnyGamesOnUrPhon,10,7,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '1'}",1510.12,1655.63,5,8,0,.385,30,0,371.l.347949
371.l.765588.t.10,Definitely Jess,1,3,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '2'}",1461.90,1253.0,9,4,0,.692,27,0,371.l.765588
371.l.765588.t.1,Cooksing With Gas,2,4,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",1356.00,1235.7,7,6,0,.538,30,0,371.l.765588
371.l.765588.t.2,MakeMericaBrateAgain,3,2,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'loss', 'value': '1'}",1445.10,1233.5500000000002,10,3,0,.769,22,0,371.l.765588
371.l.765588.t.9,MNah-MNah,4,1,"{'wins': '11', 'losses': '2', 'ties': 0, 'percentage': '.846'}","{'type': 'win', 'value': '1'}",1445.60,1295.7,11,2,0,.846,6,0,371.l.765588
371.l.765588.t.4,Edward Forte Hands,5,6,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1385.20,1296.35,6,7,0,.462,11,0,371.l.765588
371.l.765588.t.5,Los Gatos de Trueno,6,5,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1276.75,1309.9499999999998,7,6,0,.538,19,0,371.l.765588
371.l.765588.t.3,Danny Football,7,7,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '2'}",1292.15,1372.85,6,7,0,.462,19,0,371.l.765588
371.l.765588.t.6,Rachelle's Team,8,9,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '2'}",1258.40,1367.1000000000001,4,9,0,.308,10,0,371.l.765588
371.l.765588.t.8,Dakstreet Boys,9,8,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '4'}",1296.05,1344.35,5,8,0,.385,28,0,371.l.765588
371.l.765588.t.7,throw up your X,10,10,"{'wins': 0, 'losses': '13', 'ties': 0, 'percentage': '.000'}","{'type': 'loss', 'value': '13'}",967.70,1476.3000000000002,0,13,0,.000,2,0,371.l.765588
380.l.153194.t.3,CantStopWontStop,1,5,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '4'}",1972.72,1893.14,7,6,0,.538,31,4,380.l.153194
380.l.153194.t.8,WoW,2,2,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'loss', 'value': '3'}",2297.74,2037.7299999999998,9,4,0,.692,37,6,380.l.153194
380.l.153194.t.7,Captain Crunch,3,1,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '7'}",2224.75,2031.83,10,3,0,.769,40,2,380.l.153194
380.l.153194.t.1,TheVikingsCurse,4,6,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '4'}",1980.09,1923.95,6,7,0,.462,18,1,380.l.153194
380.l.153194.t.9,Scott=FreeWin,5,4,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",2011.13,2034.6899999999996,7,6,0,.538,47,1,380.l.153194
380.l.153194.t.4,needeyecontact,6,3,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",2142.29,2047.7900000000002,7,6,0,.538,30,0,380.l.153194
380.l.153194.t.5,DeshaunJJWattson,7,7,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1950.34,2080.44,6,7,0,.462,32,1,380.l.153194
380.l.153194.t.6,KENNY G BABY,8,8,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '1'}",1898.15,1945.7899999999995,6,7,0,.462,23,4,380.l.153194
380.l.153194.t.10,Zee-kee DoULoveMe?,9,9,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '2'}",1852.85,2047.3999999999996,5,8,0,.385,28,1,380.l.153194
380.l.153194.t.2,Pat Actual,10,10,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'win', 'value': '1'}",1750.30,2037.6000000000004,2,11,0,.154,28,4,380.l.153194
380.l.844269.t.1,Go Luck Yourself,1,4,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1749.10,1657.2,7,6,0,.538,27,2,380.l.844269
380.l.844269.t.10,MixonItUp,2,6,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1610.25,1573.05,7,6,0,.538,17,0,380.l.844269
380.l.844269.t.2,Danny Football,3,2,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'loss', 'value': '1'}",1721.70,1583.1999999999998,9,4,0,.692,22,1,380.l.844269
380.l.844269.t.4,Los Gatos de Trueno,4,1,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '1'}",1929.20,1732.1999999999998,10,3,0,.769,4,0,380.l.844269
380.l.844269.t.7,In My Thielens,5,3,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1667.50,1634.6500000000003,8,5,0,.615,12,0,380.l.844269
380.l.844269.t.5,Rachelle's Team,6,5,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",1717.50,1670.3,7,6,0,.538,2,0,380.l.844269
380.l.844269.t.9,Definitely Jess,7,10,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '5'}",1610.35,1824.3000000000002,2,11,0,.154,42,1,380.l.844269
380.l.844269.t.8,MNah-MNah,8,9,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '2'}",1480.50,1629.2,4,9,0,.308,10,0,380.l.844269
