,player_name,position,player_url,score
1,Kyle Trask,QB,https://sports.yahoo.com/nfl/players/33452,-0.1
2,Teddy Bridgewater,QB,https://sports.yahoo.com/nfl/players/27560,-0.2
3,Matt Barkley,QB,https://sports.yahoo.com/nfl/players/26721,-0.3
4,Nathan Peterman,QB,https://sports.yahoo.com/nfl/players/30284,-0.4
5,Kyle Allen,QB,https://sports.yahoo.com/nfl/players/31301,-1.3
0,CeeDee Lamb,WR,https://sports.yahoo.com/nfl/players/32687,379.43
1,Tyreek Hill,WR,https://sports.yahoo.com/nfl/players/29399,361.88
2,Amon-Ra St. Brown,WR,https://sports.yahoo.com/nfl/players/33500,309.28
3,Puka Nacua,WR,https://sports.yahoo.com/nfl/players/40168,283.15
4,Mike Evans,WR,https://sports.yahoo.com/nfl/players/27535,274.38
5,A.J. Brown,WR,https://sports.yahoo.com/nfl/players/31883,273.0
6,DJ Moore,WR,https://sports.yahoo.com/nfl/players/30994,272.6
7,Keenan Allen,WR,https://sports.yahoo.com/nfl/players/26699,256.43
8,Nico Collins,WR,https://sports.yahoo.com/nfl/players/33477,252.83
9,Stefon Diggs,WR,https://sports.yahoo.com/nfl/players/28534,249.88
10,Brandon Aiyuk,WR,https://sports.yahoo.com/nfl/players/32695,245.25
11,Ja'Marr Chase,WR,https://sports.yahoo.com/nfl/players/33393,243.05
12,Davante Adams,WR,https://sports.yahoo.com/nfl/players/27581,242.5
13,Deebo Samuel Sr.,WR,https://sports.yahoo.com/nfl/players/31868,236.0
14,Michael Pittman Jr.,WR,https://sports.yahoo.com/nfl/players/32704,224.5
15,Amari Cooper,WR,https://sports.yahoo.com/nfl/players/28392,222.25
16,DK Metcalf,WR,https://sports.yahoo.com/nfl/players/31896,220.25
17,Calvin Ridley,WR,https://sports.yahoo.com/nfl/players/30996,217.3
18,Chris Olave,WR,https://sports.yahoo.com/nfl/players/33966,215.88
19,DeVonta Smith,WR,https://sports.yahoo.com/nfl/players/33398,213.75
20,DeAndre Hopkins,WR,https://sports.yahoo.com/nfl/players/26650,212.53
21,Jordan Addison,WR,https://sports.yahoo.com/nfl/players/40042,209.08
22,George Pickens,WR,https://sports.yahoo.com/nfl/players/34007,205.8
23,Jayden Reed,WR,https://sports.yahoo.com/nfl/players/40063,205.03
24,Adam Thielen,WR,https://sports.yahoo.com/nfl/players/27277,204.85
0,Jakobi Meyers,WR,https://sports.yahoo.com/nfl/players/32231,203.38
1,Rashee Rice,WR,https://sports.yahoo.com/nfl/players/40084,196.45
2,Justin Jefferson,WR,https://sports.yahoo.com/nfl/players/32692,195.05
3,Terry McLaurin,WR,https://sports.yahoo.com/nfl/players/31908,194.75
4,Chris Godwin,WR,https://sports.yahoo.com/nfl/players/30197,193.3
5,Garrett Wilson,WR,https://sports.yahoo.com/nfl/players/33965,191.75
6,Zay Flowers,WR,https://sports.yahoo.com/nfl/players/40039,189.35
7,Jaylen Waddle,WR,https://sports.yahoo.com/nfl/players/33394,187.95
8,Tyler Lockett,WR,https://sports.yahoo.com/nfl/players/28457,185.25
9,Courtland Sutton,WR,https://sports.yahoo.com/nfl/players/31010,180.0
10,Drake London,WR,https://sports.yahoo.com/nfl/players/33963,162.73
11,Brandin Cooks,WR,https://sports.yahoo.com/nfl/players/27548,162.63
12,Romeo Doubs,WR,https://sports.yahoo.com/nfl/players/34088,161.75
13,Tank Dell,WR,https://sports.yahoo.com/nfl/players/40097,159.23
14,Gabe Davis,WR,https://sports.yahoo.com/nfl/players/32798,157.55
15,Cooper Kupp,WR,https://sports.yahoo.com/nfl/players/30182,153.33
16,Rashid Shaheed,WR,https://sports.yahoo.com/nfl/players/34659,150.58
17,Darius Slayton,WR,https://sports.yahoo.com/nfl/players/32003,145.25
18,Diontae Johnson,WR,https://sports.yahoo.com/nfl/players/31898,145.13
19,Josh Downs,WR,https://sports.yahoo.com/nfl/players/40126,142.38
20,Curtis Samuel,WR,https://sports.yahoo.com/nfl/players/30153,141.53
21,Christian Kirk,WR,https://sports.yahoo.com/nfl/players/31017,141.43
22,Jaxon Smith-Njigba,WR,https://sports.yahoo.com/nfl/players/40041,134.0
23,Jerry Jeudy,WR,https://sports.yahoo.com/nfl/players/32685,133.75
24,Tee Higgins,WR,https://sports.yahoo.com/nfl/players/32703,133.0
0,Tyler Boyd,WR,https://sports.yahoo.com/nfl/players/29288,127.98
