player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort,season
Terrelle Pryor Sr.,https://sports.yahoo.com/nfl/players/25681,WR,$10 Waiver,,Dezspacito,https://football.fantasysports.yahoo.com/2017/f1/347949/2,"Oct 27, 3:33 am",0,10,"Terrelle Pryor Sr.DezspacitoOct 27, 3:33 am10",2017
Case Keenum,https://sports.yahoo.com/nfl/players/26483,QB,$1 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Oct 25, 4:47 am",0,1,"Case KeenumUGotAnyGamesOnUrPhonOct 25, 4:47 am1",2017
Philadelphia,https://sports.yahoo.com/nfl/teams/philadelphia/,DEF,$1 Waiver,,Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Oct 25, 4:47 am",0,1,"PhiladelphiaKareem'd my PantsOct 25, 4:47 am1",2017
Kenny Golladay,https://sports.yahoo.com/nfl/players/30209,WR,$1 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Oct 25, 4:47 am",0,1,"Kenny GolladayMagic Skol BusOct 25, 4:47 am1",2017
Cincinnati,https://sports.yahoo.com/nfl/teams/cincinnati/,DEF,$2 Waiver,,CantStopWontStop,https://football.fantasysports.yahoo.com/2017/f1/347949/5,"Oct 25, 4:47 am",0,2,"CincinnatiCantStopWontStopOct 25, 4:47 am2",2017
Jalen Richard,https://sports.yahoo.com/nfl/players/30000,RB,$2 Waiver,,Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Oct 25, 4:47 am",0,2,"Jalen RichardKareem'd my PantsOct 25, 4:47 am2",2017
Javorius Allen,https://sports.yahoo.com/nfl/players/28513,RB,$15 Waiver,,Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Oct 25, 4:47 am",0,15,"Javorius AllenKareem'd my PantsOct 25, 4:47 am15",2017
Tarik Cohen,https://sports.yahoo.com/nfl/players/30232,RB,$1 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Oct 18, 4:39 am",0,1,"Tarik CohenUGotAnyGamesOnUrPhonOct 18, 4:39 am1",2017
Blake Bortles,https://sports.yahoo.com/nfl/players/27531,QB,$1 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Oct 18, 4:39 am",0,1,"Blake BortlesUGotAnyGamesOnUrPhonOct 18, 4:39 am1",2017
Corey Davis,https://sports.yahoo.com/nfl/players/30118,WR,$1 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Oct 18, 4:39 am",0,1,"Corey DavisBryanIsATamponOct 18, 4:39 am1",2017
