,team_key,name,rank,playoff_seed,outcome_totals,streak,points_for,points_against,wins,losses,ties,percentage,moves,faab_balance,league_key,league_id,manager_id,manager_key,rs_score,diff,p_score,playoff_wins
62,348.l.216667.t.6,CantStopWontStop,7.0,8.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'win', 'value': '1'}",1275.92,1343.1800000000003,4,9,0,0.308,23,1,348.l.216667,216667,6,216667.6,1275.92,0.0,168.82,2
63,348.l.216667.t.5,Luke use the Forsett,8.0,7.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1193.52,1248.96,7,6,0,0.538,33,0,348.l.216667,216667,5,216667.5,1193.52,0.0,179.22,1
64,348.l.216667.t.4,WAIVER!!,9.0,10.0,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '2'}",1089.74,1284.5599999999995,2,11,0,0.154,24,2,348.l.216667,216667,4,216667.4,1089.74,0.0,208.82,1
65,348.l.216667.t.9,More Than A Thielen,10.0,9.0,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '3'}",1219.52,1320.9799999999998,3,10,0,0.231,38,0,348.l.216667,216667,9,216667.9,1219.52,0.0,200.7,0
66,359.l.370526.t.1,UKnoNothinJonSnorlax,1.0,2.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'loss', 'value': '1'}",1715.55,1542.8399999999997,10,3,0,0.769,47,1,359.l.370526,370526,1,370526.1,1715.55,0.0,291.98,2
67,359.l.370526.t.10,OBJYN,2.0,1.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'loss', 'value': '1'}",1853.79,1603.02,10,3,0,0.769,22,1,359.l.370526,370526,10,370526.1,1715.55,138.24,291.98,1
68,359.l.370526.t.3,RawlDogginIt,3.0,4.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '4'}",1738.41,1618.07,8,5,0,0.615,20,1,359.l.370526,370526,3,370526.3,1738.41,0.0,375.14,2
69,359.l.370526.t.6,Le'Veon Bellsprout,4.0,3.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '1'}",1801.46,1613.72,9,4,0,0.692,40,0,359.l.370526,370526,6,370526.6,1801.46,0.0,389.45,1
70,359.l.370526.t.8,Brock and Roll,5.0,5.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '3'}",1621.84,1578.09,8,5,0,0.615,31,0,359.l.370526,370526,8,370526.8,1621.84,0.0,225.2,1
71,359.l.370526.t.9,Magic Skol Bus,6.0,6.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '1'}",1682.75,1770.8200000000002,5,8,0,0.385,32,1,359.l.370526,370526,9,370526.9,1682.75,0.0,175.87,0
72,359.l.370526.t.2,FA-F-FOOTBALLrappin,7.0,9.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'win', 'value': '1'}",1561.22,1688.8900000000003,4,9,0,0.308,28,2,359.l.370526,370526,2,370526.2,1561.22,0.0,241.41,2
73,359.l.370526.t.7,-1000 Pat,8.0,10.0,"{'wins': '1', 'losses': '12', 'ties': 0, 'percentage': '.077'}","{'type': 'loss', 'value': '3'}",1543.41,1792.9999999999998,1,12,0,0.077,50,3,359.l.370526,370526,7,370526.7,1543.41,0.0,221.4,1
74,359.l.370526.t.4,Siemian on my Gurley,9.0,7.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '2'}",1476.11,1655.8000000000002,5,8,0,0.385,30,0,359.l.370526,370526,4,370526.4,1476.11,0.0,259.22,1
75,359.l.370526.t.5,CantStopWontStop,10.0,8.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '1'}",1471.55,1601.84,5,8,0,0.385,28,3,359.l.370526,370526,5,370526.5,1471.55,0.0,185.85,0
76,371.l.347949.t.7,BryanIsATampon,1.0,1.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '3'}",1741.16,1460.0599999999995,10,3,0,0.769,40,3,371.l.347949,347949,7,347949.7,1741.16,0.0,247.45,2
77,371.l.347949.t.5,CantStopWontStop,2.0,3.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '5'}",1608.58,1519.41,9,4,0,0.692,34,3,371.l.347949,347949,5,347949.5,1608.58,0.0,378.32,2
78,371.l.347949.t.6,Kareem'd my Pants,3.0,2.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '2'}",1888.1,1496.12,9,4,0,0.692,59,1,371.l.347949,347949,6,347949.6,1888.1,0.0,295.49,1
79,371.l.347949.t.3,Golladayum,4.0,4.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1679.6,1595.23,8,5,0,0.615,22,4,371.l.347949,347949,3,347949.3,1679.6,0.0,392.67,1
80,371.l.347949.t.4,The Brady Bunch,5.0,6.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '3'}",1569.57,1598.71,6,7,0,0.462,35,2,371.l.347949,347949,4,347949.4,1569.57,0.0,240.2,1
81,371.l.347949.t.2,Dezspacito,6.0,5.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",1641.94,1592.5,7,6,0,0.538,37,1,371.l.347949,347949,2,347949.2,1641.94,0.0,252.03,0
82,371.l.347949.t.9,Magic Skol Bus,7.0,9.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '2'}",1553.96,1642.64,4,9,0,0.308,48,3,371.l.347949,347949,9,347949.9,1553.96,0.0,255.77,2
83,371.l.347949.t.8,Fetty Watt,8.0,10.0,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '6'}",1393.5,1756.45,2,11,0,0.154,28,2,371.l.347949,347949,8,347949.8,1393.5,0.0,200.64000000000001,1
84,371.l.347949.t.10,The Juice Is Loose,9.0,8.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '2'}",1437.41,1707.19,5,8,0,0.385,30,1,371.l.347949,347949,10,347949.1,1510.12,-72.70999999999981,176.14,1
85,371.l.347949.t.1,UGotAnyGamesOnUrPhon,10.0,7.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '1'}",1510.12,1655.63,5,8,0,0.385,30,0,371.l.347949,347949,1,347949.1,1510.12,0.0,176.14,0
86,380.l.153194.t.3,CantStopWontStop,1.0,5.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '4'}",1972.72,1893.14,7,6,0,0.538,31,4,380.l.153194,153194,3,153194.3,1972.72,0.0,500.73,3
87,380.l.153194.t.8,WoW,2.0,2.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'loss', 'value': '3'}",2297.74,2037.73,9,4,0,0.692,37,6,380.l.153194,153194,8,153194.8,2297.74,0.0,299.12,1
88,380.l.153194.t.7,Captain Crunch,3.0,1.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '7'}",2224.75,2031.83,10,3,0,0.769,40,2,380.l.153194,153194,7,153194.7,2224.75,0.0,281.27,1
89,380.l.153194.t.1,TheVikingsCurse,4.0,6.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '4'}",1980.09,1923.95,6,7,0,0.462,18,1,380.l.153194,153194,1,153194.1,1980.09,0.0,416.61,1
90,380.l.153194.t.10,Zee-kee DoULoveMe?,9.0,9.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '2'}",1852.85,2047.4,5,8,0,0.385,28,1,380.l.153194,153194,10,153194.1,1980.09,-127.24000000000001,416.61,1
91,380.l.153194.t.9,Scott=FreeWin,5.0,4.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",2011.13,2034.69,7,6,0,0.538,47,1,380.l.153194,153194,9,153194.9,2011.1299999999999,2.2737367544323206e-13,259.25,1
92,380.l.153194.t.4,needeyecontact,6.0,3.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",2142.29,2047.79,7,6,0,0.538,30,0,380.l.153194,153194,4,153194.4,2142.29,0.0,250.89,0
93,380.l.153194.t.5,DeshaunJJWattson,7.0,7.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1950.34,2080.44,6,7,0,0.462,32,1,380.l.153194,153194,5,153194.5,1950.34,0.0,300.9,2
