Unnamed: 0,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url,league_id,manager_key
2,WR,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,N. Washington ,https://sports.yahoo.com/nfl/players/7492,3.2,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
3,WR,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,P. Garcon ,https://sports.yahoo.com/nfl/players/8982,1.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
4,RB,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,M. Jones ,https://sports.yahoo.com/nfl/players/28483,24.7,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
5,RB,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,D. Williams ,https://sports.yahoo.com/nfl/players/7776,6.9,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
6,TE,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,Z. Ertz ,https://sports.yahoo.com/nfl/players/26658,6.8,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
7,K,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,M. Nugent ,https://sports.yahoo.com/nfl/players/7223,7.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
8,DEF,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,Baltimore  - DEF ,https://sports.yahoo.com/nfl/teams/baltimore/,5.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
0,QB,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,M. Stafford ,https://sports.yahoo.com/nfl/players/9265,20.38,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
1,WR,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,D. Thomas ,https://sports.yahoo.com/nfl/players/23997,11.9,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
2,WR,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,N. Washington ,https://sports.yahoo.com/nfl/players/7492,1.3,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
3,WR,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,J. Jones ,https://sports.yahoo.com/nfl/players/24793,16.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
4,RB,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,D. Freeman ,https://sports.yahoo.com/nfl/players/27631,4.3,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
5,RB,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,R. Hillman ,https://sports.yahoo.com/nfl/players/25777,10.4,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
6,TE,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,R. Rodgers ,https://sports.yahoo.com/nfl/players/27626,0.7,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
7,K,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,G. Zuerlein ,https://sports.yahoo.com/nfl/players/25881,1.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
8,DEF,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=11&mid1=1&mid2=3,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,9.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
0,QB,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,M. Stafford ,https://sports.yahoo.com/nfl/players/9265,34.78,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
1,WR,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,D. Thomas ,https://sports.yahoo.com/nfl/players/23997,3.6,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
2,WR,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,N. Washington ,https://sports.yahoo.com/nfl/players/7492,4.3,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
3,WR,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,J. Jones ,https://sports.yahoo.com/nfl/players/24793,5.6,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
4,RB,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=12&mid1=1&mid2=4,D. Williams ,https://sports.yahoo.com/nfl/players/7776,17.7,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
