Unnamed: 0,position,manager_id,opponent_id,matchup_url,player,player_url,player_id,score,manager,league_url,league_id,manager_key
8,DEF,8,2,https://football.fantasysports.yahoo.com//2009/f1/790872/matchup?week=2&mid1=8&mid2=2,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,-1,SuperStunnaFoSho,https://football.fantasysports.yahoo.com/2009/f1/790872,790872,790872.8
8,DEF,4,7,https://football.fantasysports.yahoo.com//2010/f1/438659/matchup?week=2&mid1=4&mid2=7,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,7,MyDickIsLikeSuperBig,https://football.fantasysports.yahoo.com/2010/f1/438659,438659,438659.4
8,DEF,8,1,https://football.fantasysports.yahoo.com//2010/f1/438659/matchup?week=7&mid1=8&mid2=1,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,16,ImOnCalvinsJohnson,https://football.fantasysports.yahoo.com/2010/f1/438659,438659,438659.8
8,DEF,8,5,https://football.fantasysports.yahoo.com//2010/f1/438659/matchup?week=8&mid1=8&mid2=5,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,6,ImOnCalvinsJohnson,https://football.fantasysports.yahoo.com/2010/f1/438659,438659,438659.8
8,DEF,8,6,https://football.fantasysports.yahoo.com//2010/f1/438659/matchup?week=10&mid1=8&mid2=6,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,2,ImOnCalvinsJohnson,https://football.fantasysports.yahoo.com/2010/f1/438659,438659,438659.8
8,DEF,8,3,https://football.fantasysports.yahoo.com//2010/f1/438659/matchup?week=11&mid1=8&mid2=3,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,6,ImOnCalvinsJohnson,https://football.fantasysports.yahoo.com/2010/f1/438659,438659,438659.8
8,DEF,4,1,https://football.fantasysports.yahoo.com//2013/f1/378899/matchup?week=10&mid1=4&mid2=1,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,7,RG-3PO,https://football.fantasysports.yahoo.com/2013/f1/378899,378899,378899.4
8,DEF,1,7,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=6&mid1=1&mid2=7,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,13,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823,329823,329823.1
8,DEF,5,8,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=5&mid2=8,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,6,TURN DOWN 4 WATT,https://football.fantasysports.yahoo.com/2014/f1/329823,329823,329823.5
8,DEF,3,9,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=3&mid2=9,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,15,1st Back2Back,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.3
8,DEF,6,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=6&mid1=6&mid2=2,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,5,CantStopWontStop,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.6
8,DEF,1,9,https://football.fantasysports.yahoo.com//2016/f1/370526/matchup?week=8&mid1=1&mid2=9,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,4,UKnoNothinJonSnorlax,https://football.fantasysports.yahoo.com/2016/f1/370526,370526,370526.1
8,DEF,10,4,https://football.fantasysports.yahoo.com//2016/f1/370526/matchup?week=6&mid1=10&mid2=4,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,6,OBJYN,https://football.fantasysports.yahoo.com/2016/f1/370526,370526,370526.1
8,DEF,1,2,https://football.fantasysports.yahoo.com//2017/f1/347949/matchup?week=10&mid1=1&mid2=2,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,10,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949,347949,347949.1
8,DEF,2,3,https://football.fantasysports.yahoo.com//2017/f1/347949/matchup?week=12&mid1=2&mid2=3,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,14,Dezspacito,https://football.fantasysports.yahoo.com/2017/f1/347949,347949,347949.2
8,DEF,4,10,https://football.fantasysports.yahoo.com//2017/f1/347949/matchup?week=6&mid1=4&mid2=10,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,8,The Brady Bunch,https://football.fantasysports.yahoo.com/2017/f1/347949,347949,347949.4
8,DEF,5,4,https://football.fantasysports.yahoo.com//2017/f1/347949/matchup?week=7&mid1=5&mid2=4,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,16,CantStopWontStop,https://football.fantasysports.yahoo.com/2017/f1/347949,347949,347949.5
9,DEF,7,4,https://football.fantasysports.yahoo.com//2018/f1/153194/matchup?week=9&mid1=7&mid2=4,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,16,Captain Crunch,https://football.fantasysports.yahoo.com/2018/f1/153194,153194,153194.7
9,DEF,7,8,https://football.fantasysports.yahoo.com//2018/f1/153194/matchup?week=13&mid1=7&mid2=8,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,15,Captain Crunch,https://football.fantasysports.yahoo.com/2018/f1/153194,153194,153194.7
9,DEF,8,4,https://football.fantasysports.yahoo.com//2018/f1/153194/matchup?week=1&mid1=8&mid2=4,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,13,WoW,https://football.fantasysports.yahoo.com/2018/f1/153194,153194,153194.8
9,DEF,8,5,https://football.fantasysports.yahoo.com//2018/f1/153194/matchup?week=2&mid1=8&mid2=5,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,9,WoW,https://football.fantasysports.yahoo.com/2018/f1/153194,153194,153194.8
9,DEF,8,6,https://football.fantasysports.yahoo.com//2018/f1/153194/matchup?week=3&mid1=8&mid2=6,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,20,WoW,https://football.fantasysports.yahoo.com/2018/f1/153194,153194,153194.8
9,DEF,8,7,https://football.fantasysports.yahoo.com//2018/f1/153194/matchup?week=4&mid1=8&mid2=7,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,8,WoW,https://football.fantasysports.yahoo.com/2018/f1/153194,153194,153194.8
8,DEF,8,10,https://football.fantasysports.yahoo.com//2018/f1/153194/matchup?week=5&mid1=8&mid2=10,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,11,WoW,https://football.fantasysports.yahoo.com/2018/f1/153194,153194,153194.8
8,DEF,8,9,https://football.fantasysports.yahoo.com//2018/f1/153194/matchup?week=6&mid1=8&mid2=9,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,6,WoW,https://football.fantasysports.yahoo.com/2018/f1/153194,153194,153194.8
9,DEF,9,6,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=2&mid1=9&mid2=6,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,11,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
9,DEF,9,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=3&mid1=9&mid2=8,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,8,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231,102231,102231.9
